
2026/02/04 (22:40:17) | ===> btop++ v.1.3.2
2026/02/04 (22:40:17) | WARNING: Failed to join _runner thread on exit!

2026/02/26 (21:43:19) | ===> btop++ v.1.3.2
2026/02/26 (21:43:19) | WARNING: Failed to join _runner thread on exit!

2026/04/11 (22:03:50) | ===> btop++ v.1.3.2
2026/04/11 (22:03:50) | WARNING: Failed to join _runner thread on exit!

2026/04/11 (22:06:01) | ===> btop++ v.1.3.2
2026/04/11 (22:06:01) | WARNING: Failed to join _runner thread on exit!

2026/04/11 (22:08:24) | ===> btop++ v.1.3.2
2026/04/11 (22:08:24) | WARNING: Failed to join _runner thread on exit!
